Alcorn,ALCN,,4,Bradley,BRAD,,12,,9,2014-02-16
South Carolina,SC,,12,Bucknell,BUCK,,0,,9,2014-02-16
UC Irvine,UCI,,1,Fresno St.,FRES,,0,,9,2014-02-16
Bethune-Cookman,BCU,,0,CSUN,CSUN,,2,,9,2014-02-16
UNLV,UNLV,,6,Central Mich.,CMU,,2,,9,2014-02-16
McNeese,MCNS,,7,Southern Miss.,USM,,1,,9,2014-02-16
Little Rock,LR,,7,Creighton,CREI,,1,,9,2014-02-16
USC Upstate,USCU,,13,Dayton,DAY,,2,,9,2014-02-16
Louisiana,ULL,,9,Eastern Ill.,EIU,,8,,9,2014-02-16
Alabama St.,ALST,,11,Eastern Ky.,EKU,,3,,9,2014-02-16
Clemson,CLEM,,9,Eastern Mich.,EMU,,7,,9,2014-02-16
Wake Forest,WF,,3,Georgetown,GTWN,,2,,9,2014-02-16
Georgia,UGA,,4,Ga. Southern,GASO,,18,,9,2014-02-16
LSU,LSU,,6,Grambling,GSU,,0,,9,2014-02-16
Mississippi St.,MSST,,7,Western Caro.,WCU,,2,,9,2014-02-16
Georgia St.,GAST,,10,Illinois,ILL,,6,,9,2014-02-16
Lamar University,LAM,,8,UIC,UIC,,7,,10,2014-02-16
Texas Tech,TTU,,7,Indiana,IU,,0,,9,2014-02-16
Austin Peay,PEAY,,7,Iowa,IOWA,,4,,9,2014-02-16
TCU,TCU,,0,Jacksonville,JAC,,2,,9,2014-02-16
East Carolina,ECU,,4,James Madison,JMU,,2,,9,2014-02-16
Cal Poly,CP,,10,Kansas St.,KSU,,1,,9,2014-02-16
Arizona,ARIZ,,7,Kent St.,KENT,,1,,9,2014-02-16
ETSU,ETSU,,4,Longwood,LU,,6,,9,2014-02-16
Miami (FL),MIAM,,11,Maine,UME,,2,,9,2014-02-16
Florida,UF,,8,Maryland,UMD,,5,,8,2014-02-16
Arkansas St.,ARST,,13,Miami (OH),MU,,3,,9,2014-02-16
Kennesaw St.,KENN,,18,Middle Tenn.,MTU,,1,,9,2014-02-16
DBU,DBU,,14,Mississippi Val.,MVSU,,2,,9,2014-02-16
Stetson,STE,,2,Ole Miss,MISS,,8,,9,2014-02-16
North Florida,UNF,,1,South Fla.,USF,,12,,9,2014-02-16
Col. of Charleston,COC,,3,North Carolina,UNC,,12,,9,2014-02-16
San Diego,USD,,17,New Mexico,NMU,,2,,9,2014-02-16
Florida St.,FSU,,13,Niagara,NU,,0,,8,2014-02-16
Houston,UH,,3,Nicholls St.,NIST,,2,,9,2014-02-16
Texas A&M,TAMU,,1,Northeastern,NEU,,0,,9,2014-02-16
Sam Houston St.,SHSU,,5,Northern Colo.,UNCO,,0,,9,2014-02-16
Troy,TROY,,14,Northern Ky.,NKU,,4,,9,2014-02-16
Southern California,USC,,13,Northwestern,NW,,6,,9,2014-02-16
Fla. Atlantic,FAU,,13,Notre Dame,ND,,3,,9,2014-02-16
UT Arlington,UTA,,3,Oklahoma St.,OKST,,4,,9,2014-02-16
Hawaii,HAW,,5,Oregon,UO,,6,,10,2014-02-16
UCLA,UCLA,,4,Portland,POR,,3,,11,2014-02-16
Houston Baptist,HBU,,4,Prairie View,PV,,3,,9,2014-02-16
FGCU,FGCU,,4,Rhode Island,URI,,3,,9,2014-02-16
Stanford,STAN,,12,Rice,RICE,,3,,9,2014-02-16
FIU,FIU,,5,Rutgers,RUT,,4,,9,2014-02-16
Pepperdine,PEPP,,11,St. John's (NY),SJ,,1,,9,2014-02-16
Alabama,ALA,,9,Saint Louis,SLU,,3,,9,2014-02-16
New Mexico St.,NMST,,3,Saint Mary's (CA),SMC,,8,,8,2014-02-16
UTSA,UTSA,,14,Saint Peter's,SAIN,,0,,7,2014-02-16
San Jose St.,SJSU,,8,San Diego St.,SDSU,,13,,9,2014-02-16
UC Riverside,UCR,,8,San Francisco,SF,,5,,9,2014-02-16
Oklahoma,OU,,15,Seton Hall,SET,,6,,8,2014-02-16
UCF,UCF,,9,Siena,SIE,,6,,9,2014-02-16
Jackson St.,JKST,,2,South Dakota St.,SDST,,1,,9,2014-02-16
Oral Roberts,ORU,,6,Southeast Mo. St.,SEMO,,2,,9,2014-02-16
Louisiana Tech,LTU,,2,Southeastern La.,SELA,,1,,10,2014-02-16
Wichita St.,WICH,,21,SIUE,SIUE,,2,,9,2014-02-16
Central Ark.,UCA,,6,Missouri St.,MOST,,4,,9,2014-02-16
South Alabama,SAU,,4,Tennessee Tech,TNTC,,5,,9,2014-02-16
UAB,UAB,,5,UT Martin,UTM,,3,,9,2014-02-16
California,CAL,,0,Texas,UT,,5,,9,2014-02-16
Furman,FURM,,13,Toledo,TOL,,5,,9,2014-02-16
Texas St.,TXST,,6,Air Force,AFA,,0,,9,2014-02-16
Sacramento St.,SAC,,5,Utah,UTAH,,4,,9,2014-02-16
Samford,SAMF,,10,Valparaiso,VAL,,7,,9,2014-02-16
Long Beach St.,LBST,,2,Vanderbilt,VAN,,6,,9,2014-02-16
Charleston So.,CHSO,,8,Villanova,VU,,4,,9,2014-02-16
Georgia Tech,GT,,3,VCU,VCU,,5,,9,2014-02-16
UNCW,UNCW,,2,Virginia,UVA,,7,,9,2014-02-16
Cal St. Fullerton,CSF,,5,Washington St.,WSU,,4,,9,2014-02-16
The Citadel,CIT,,2,West Virginia,WVU,,10,,9,2014-02-16
Memphis,MEM,,5,Western Mich.,WMU,,2,,9,2014-02-16
CSU Bakersfield,CSUB,,9,Milwaukee,MIL,,3,,8,2014-02-16
Furman,FURM,,6,Xavier,XAV,,11,,9,2014-02-16
La.-Monroe,ULM,,1,Grand Canyon,GCU,,7,,9,2014-02-16
UC Davis,UCD,,5,Seattle U,SEA,,17,,9,2014-02-16
